정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,우이동차고지(기점가상),5,8,7,4,여유,여유,여유,여유
2,우이동차고지기점,0,2,5,4,여유,여유,여유,여유
3,한국사회봉사회,3,4,5,2,여유,여유,여유,여유
4,연산군.정의공주묘,7,7,6,4,여유,여유,여유,여유
5,방학동신동아타워,11,9,6,5,여유,여유,여유,여유
6,방학동신동아아파트,13,11,6,7,여유,여유,여유,여유
7,국민은행방학지점,12,14,6,8,여유,보통,여유,여유
8,신한은행방학동지점,16,19,8,11,보통,보통,여유,여유
9,방학사거리,20,19,10,12,보통,보통,여유,여유
10,정병원,23,21,14,10,보통,보통,여유,여유
11,도봉보건소,24,27,15,13,보통,보통,여유,여유
12,도봉구민회관.도봉문화원(중),26,25,15,11,보통,여유,여유,여유
13,쌍문역,17,18,14,10,보통,여유,여유,여유
14,우이1교앞,17,20,14,12,보통,여유,여유,여유
15,수유3동우체국,20,18,14,14,보통,보통,여유,여유
16,수유(강북구청)역,17,24,15,11,보통,혼잡,여유,여유
17,수유역,13,24,14,11,보통,혼잡,여유,여유
18,수유시장.성신여대미아캠퍼스앞,17,30,14,13,보통,혼잡,보통,여유
19,미아역.신일중고,18,27,16,13,보통,매우혼잡,보통,보통
20,도봉세무서.성북시장,20,30,20,13,혼잡,혼잡,혼잡,혼잡
21,미아사거리역,25,37,25,23,혼잡,매우혼잡,혼잡,혼잡
22,성가복지병원,26,36,23,23,혼잡,매우혼잡,혼잡,혼잡
23,종암사거리입구,27,35,24,24,보통,혼잡,혼잡,보통
24,종암동주민센터,29,37,25,23,보통,혼잡,혼잡,보통
25,숭례초교,36,39,25,22,보통,혼잡,보통,보통
26,고려대역.고대앞삼거리,38,43,22,23,혼잡,혼잡,보통,보통
27,홍파초등학교,40,43,24,23,보통,혼잡,보통,보통
28,경동시장,42,48,25,25,보통,보통,보통,여유
29,경동시장사거리,43,55,27,28,보통,보통,보통,여유
30,동대문구청,42,55,27,24,보통,보통,보통,여유
31,신답초등학교.청계한신휴플러스,40,56,26,23,여유,보통,여유,여유
32,답십리역사거리,45,55,26,20,여유,여유,여유,여유
33,청년회의소.서울새활용플라자,42,53,28,17,여유,보통,여유,여유
34,장한평역,46,52,33,15,여유,보통,여유,여유
35,군자교입구,43,52,32,13,여유,여유,여유,여유
36,군자역.용마초등학교,53,66,34,18,여유,여유,여유,여유
37,중곡동입구삼거리,50,68,32,16,여유,혼잡,여유,여유
38,어린이대공원후문아차산역,43,69,33,18,보통,혼잡,보통,여유
39,새밭교회,36,68,32,16,여유,혼잡,여유,여유
40,광나루역,37,59,30,14,보통,혼잡,보통,여유
41,천호역,26,42,28,15,보통,매우혼잡,혼잡,여유
42,강동역,18,41,32,20,보통,매우혼잡,혼잡,여유
43,강동성심병원(동신중학교),15,37,28,15,보통,매우혼잡,혼잡,여유
44,천동초등학교.천호도서관,13,28,19,11,여유,보통,보통,여유
45,강동모커리한방병원,14,16,10,12,보통,보통,여유,여유
46,길동역1번출구,14,21,11,11,보통,보통,보통,여유
47,서울프라임한방병원,19,31,15,10,보통,보통,여유,여유
48,길동사거리.강동세무서,21,42,15,11,보통,보통,보통,여유
49,강동역1번출구.동신중학교,26,46,20,9,여유,여유,여유,여유
50,천호역5번출구.천호사거리,28,41,23,16,여유,여유,여유,여유
51,천호역1번출구.문구거리,35,41,28,19,여유,여유,여유,여유
59,청년회의소,38,42,54,29,보통,혼잡,여유,여유
62,동대문구청.용신동주민센터,45,46,54,26,보통,혼잡,보통,여유
63,경동시장앞,45,47,54,26,보통,매우혼잡,보통,여유
65,제기동한신아파트앞,39,45,43,23,여유,혼잡,보통,여유
67,숭례초등학교,42,49,45,24,보통,보통,보통,보통
75,수유역.강북구청,24,37,34,19,보통,매우혼잡,혼잡,보통
80,도봉보건소.북한산아이파크아파트,33,37,51,26,보통,혼잡,보통,보통
86,연산군정의공주묘,0,3,2,2,여유,여유,여유,여유
88,우이동차고지종점,0,0,0,0,,,,
