정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,도봉산역광역환승센터,2,1,0,0,여유,여유,여유,여유
2,도봉산역,16,12,12,8,여유,여유,여유,여유
3,도봉한신아파트,18,11,13,10,여유,여유,여유,여유
4,서울북부지방법원.검찰청.도봉역성황당,16,16,11,11,여유,여유,여유,여유
5,신도봉사거리,17,15,9,10,여유,여유,여유,여유
6,신도봉시장.도봉구청.방학북부역,21,21,14,9,여유,여유,여유,여유
7,도봉소방서.방학남부역,21,25,15,10,여유,보통,여유,여유
8,도봉보건소,21,26,18,8,보통,보통,여유,여유
9,도봉구민회관.도봉문화원(중),24,22,19,6,보통,보통,여유,여유
10,쌍문역,19,21,15,12,보통,보통,여유,여유
11,우이1교앞,20,22,15,6,보통,보통,여유,여유
12,수유3동우체국,16,17,14,10,보통,여유,여유,여유
13,수유(강북구청)역,14,14,17,5,보통,여유,여유,여유
14,수유역,16,13,14,7,보통,여유,여유,여유
15,수유시장.성신여대미아캠퍼스앞,13,23,18,9,보통,보통,여유,여유
16,미아역.신일중고,12,23,19,9,보통,혼잡,여유,여유
17,도봉세무서.성북시장,13,13,17,5,보통,혼잡,여유,여유
18,미아사거리역,19,26,17,11,보통,혼잡,보통,여유
19,월곡뉴타운,18,17,15,13,보통,매우혼잡,보통,보통
20,길음뉴타운,15,21,14,10,혼잡,혼잡,혼잡,혼잡
21,미아리고개.미아리예술극장,15,18,12,11,혼잡,매우혼잡,혼잡,혼잡
22,돈암사거리.성신여대입구,18,15,11,13,혼잡,매우혼잡,혼잡,혼잡
23,삼선교.한성대학교,20,16,14,12,보통,혼잡,혼잡,보통
24,혜화동로터리.여운형활동터,18,15,17,13,보통,혼잡,혼잡,보통
25,명륜3가.성대입구,18,24,21,19,보통,혼잡,보통,보통
26,창경궁.서울대학교병원,21,24,22,19,혼잡,혼잡,보통,보통
27,원남동,28,42,26,20,보통,혼잡,보통,보통
28,광장시장,27,43,27,16,보통,보통,보통,여유
29,중구청앞.덕수중학교,25,38,26,16,보통,보통,보통,여유
30,충무로역8번출구.대한극장앞,28,34,28,23,보통,보통,보통,여유
31,퇴계로3가.한옥마을.한국의집,30,40,30,25,여유,보통,여유,여유
32,남산1호터널,27,41,0,20,여유,여유,여유,여유
33,순천향대학병원.한남오거리,35,40,32,15,여유,보통,여유,여유
34,신사역.푸른저축은행,35,39,30,9,여유,보통,여유,여유
35,논현역,25,29,17,8,여유,여유,여유,여유
36,지하철2호선강남역,14,20,12,8,여유,여유,여유,여유
37,신분당선강남역,16,19,14,9,여유,혼잡,여유,여유
38,래미안아파트.파이낸셜뉴스(중),15,30,8,6,보통,혼잡,보통,여유
39,뱅뱅사거리,13,26,9,8,여유,혼잡,여유,여유
40,양재역.서초문화예술회관,9,19,12,5,보통,혼잡,보통,여유
41,교육개발원입구,7,16,10,3,보통,매우혼잡,혼잡,여유
42,시민의숲,4,10,5,4,보통,매우혼잡,혼잡,여유
43,AT센터.양재꽃시장,0,5,0,0,보통,매우혼잡,혼잡,여유
44,양재2동주민센터.양재꽃시장,13,21,5,5,여유,보통,보통,여유
45,언남고교,17,31,5,7,보통,보통,여유,여유
53,신사역,50,59,48,29,여유,여유,여유,여유
54,한남대교전망카페,51,58,46,21,여유,여유,여유,여유
55,한남5거리,52,59,46,29,여유,여유,여유,여유
56,순천향대학병원,54,69,48,33,여유,여유,여유,여유
57,서울백병원.국가인권위.안중근활동터,61,71,53,33,여유,여유,여유,여유
58,종로3가.탑골공원,54,69,52,37,여유,보통,여유,여유
59,종로4가.종묘,54,70,54,36,보통,혼잡,여유,여유
60,종로5가.광장시장,51,69,55,34,보통,보통,여유,여유
61,종로5가.효제초등학교,50,64,51,31,혼잡,혼잡,보통,여유
62,종로5가.효제동.김상옥의거터,48,62,50,29,보통,혼잡,보통,여유
63,방송통신대.이화장,41,57,51,30,보통,매우혼잡,보통,여유
64,혜화역.마로니에공원,39,47,43,30,여유,여유,여유,여유
65,혜화역.동성중고(장면총리가옥),37,46,40,38,여유,혼잡,보통,여유
66,삼선교.한성대학교.조소앙활동터,31,44,36,31,보통,보통,여유,여유
75,수유역.강북구청,32,37,44,27,보통,매우혼잡,혼잡,보통
80,도봉보건소.북한산아이파크아파트,28,32,32,20,보통,혼잡,보통,보통
